protein_group	eggnog_annot	diamond_annot	annotation	eggnog_proteins_annot	diamond_proteins_annot	organism_eggnog	organism_diamond	go_annotation	upd_full_annot
TRINITY_DN782_c0_g1_i5.p1_Ecy;NODE_14067_length_2537_cov_396.376206_g8285_i0.p1_Ecy;TRINITY_DN782_c0_g1_i3.p1_Ecy;TRINITY_DN955_c0_g1_i3.p1_Gla;TRINITY_DN955_c0_g1_i19.p1_Gla;NODE_55494_length_938_cov_423.968504_g36875_i0.p1_Ecy;TRINITY_DN782_c0_g1_i3.p2_Ecy;NODE_16890_length_2285_cov_442.344365_g9986_i0.p1_Ecy;NODE_28612_length_1682_cov_144.314146_g18563_i0.p1_Eve;NODE_30060_length_1632_cov_154.885028_g19626_i0.p1_Eve;TRINITY_DN873_c1_g1_i6.p1_Eve;NODE_35891_length_1351_cov_451.857143_g22163_i0.p1_Ecy;NODE_97174_length_720_cov_154.081967_g75909_i0.p1_Eve;NODE_26586_length_1856_cov_378.250692_g18793_i0.p1_Gla;NODE_68248_length_941_cov_135.663677_g50145_i0.p1_Eve;TRINITY_DN955_c0_g1_i1.p1_Gla;TRINITY_DN873_c1_g1_i10.p1_Eve;NODE_11483_length_2769_cov_361.534191_g7689_i0.p1_Gla	glipr2	CAP domain	glipr2	glipr2:1	CAP domain:1	Chordata	Arthropoda	glipr2	glipr2
NODE_141_length_10682_cov_49.023324_g89_i0.p1_Ecy;TRINITY_DN27152_c0_g1_i1.p1_Eve;TRINITY_DN18100_c0_g1_i1.p1_Gla;NODE_11031_length_2822_cov_14.767400_g7374_i0.p1_Gla;NODE_2285_length_4972_cov_40.531790_g1489_i0.p1_Gla;TRINITY_DN120789_c0_g1_i1.p1_Gla;TRINITY_DN98455_c0_g1_i1.p1_Eve;NODE_25978_length_1785_cov_24.921083_g16718_i0.p1_Eve;NODE_113900_length_687_cov_6.206897_g93432_i0.p1_Gla;TRINITY_DN186372_c0_g1_i1.p1_Gla	GCN1L1	PREDICTED: eIF-2-alpha kinase activator GCN1-like	GCN1L1	GCN1L1:1	PREDICTED: eIF-2-alpha kinase activator GCN1-like:8;HEAT repeat:2	Mammalia	Arthropoda	GCN1L1	GCN1L1
TRINITY_DN2973_c0_g2_i2.p1_Eve;NODE_14105_length_2533_cov_550.321659_g8307_i0.p1_Ecy	EIF3E	PREDICTED: eukaryotic translation initiation factor 3 subunit E-B-like isoform X2	EIF3E	EIF3E:2	PREDICTED: eukaryotic translation initiation factor 3 subunit E-B-like isoform X2:2	Vertebrata	Arthropoda	EIF3E	EIF3E
NODE_14166_length_2527_cov_193.795803_g4193_i1.p1_Ecy;NODE_7169_length_3578_cov_132.811845_g4193_i0.p1_Ecy;TRINITY_DN105557_c0_g1_i2.p1_Gla;TRINITY_DN79530_c0_g1_i1.p1_Gla;TRINITY_DN77031_c0_g1_i1.p1_Gla	PHGDH	D-3-phosphoglycerate dehydrogenase-like	PHGDH	PHGDH:4	D-3-phosphoglycerate dehydrogenase-like:4;formin -like protein:1	Bilateria;Actinopterygii	Rotifera;Arthropoda	PHGDH	PHGDH
TRINITY_DN225295_c0_g1_i8.p1_Eve;NODE_14250_length_2519_cov_424.681377_g8402_i0.p1_Ecy;NODE_14461_length_2499_cov_198.734286_g9816_i0.p1_Gla	*	RNA recognition motif domain	RNA recognition motif domain		PREDICTED: RNA-binding protein lark-like:1;RNA recognition motif domain:2		Arthropoda	Hrb27C	Hrb27C
TRINITY_DN4709_c0_g1_i9.p1_Ecy;NODE_14258_length_2519_cov_120.043725_g8409_i0.p1_Ecy	*	PREDICTED: uncharacterized protein LOC108664433	PREDICTED: uncharacterized protein LOC108664433		PREDICTED: uncharacterized protein LOC108664433:1;hypothetical protein FHG87_019342:1		Arthropoda	*	PREDICTED: uncharacterized protein LOC108664433
NODE_14302_length_2477_cov_652.040774_g8829_i0.p1_Eve;TRINITY_DN15692_c1_g2_i1.p1_Eve;TRINITY_DN11822_c0_g2_i1.p1_Gla;TRINITY_DN6110_c0_g3_i3.p1_Ecy;NODE_17188_length_2260_cov_822.334238_g10159_i0.p1_Ecy	Nop56	PREDICTED: nucleolar protein 56-like, partial	Nop56	Nop56:4;NOP56:1	PREDICTED: nucleolar protein 56-like, partial:5	Nematocera	Arthropoda	Nop56	Nop56
NODE_14318_length_2476_cov_9594.721467_g5173_i2.p1_Eve	*	hemocyanin subunit 1	hemocyanin subunit 1		hemocyanin subunit 1:1		Arthropoda	KLH1	KLH1
TRINITY_DN72763_c0_g1_i2.p1_Gla;NODE_14376_length_2508_cov_287.277349_g8484_i0.p1_Ecy;TRINITY_DN5759_c0_g1_i1.p1_Ecy;TRINITY_DN9081_c0_g1_i1.p1_Gla	ACTR3	PREDICTED: actin-related protein 3-like	ACTR3	ACTR3:1	PREDICTED: actin-related protein 3-like:2;Actin family:1;Actin-related protein 3:1	Metatheria	Arthropoda	ACTR3	ACTR3
TRINITY_DN1882_c0_g1_i8.p1_Gla;NODE_14391_length_2505_cov_1703.051303_g9767_i0.p1_Gla;TRINITY_DN1825_c0_g1_i40.p1_Ecy;NODE_6913_length_3513_cov_4526.300231_g4153_i0.p1_Eve;NODE_15423_length_2425_cov_1653.993266_g9767_i1.p1_Gla;TRINITY_DN22741_c1_g2_i3.p1_Eve;TRINITY_DN1825_c0_g1_i22.p1_Ecy;NODE_50668_length_1016_cov_8131.933816_g3695_i9.p1_Ecy;NODE_65766_length_805_cov_11429.199735_g3695_i11.p1_Ecy;TRINITY_DN22741_c1_g2_i1.p1_Eve;TRINITY_DN1825_c0_g1_i18.p1_Ecy	Adam	Eukaryotic translation initiation factor 3 subunit J	Adam	Adam:8;EIF3J:3	Eukaryotic translation initiation factor 3 subunit J:11	Arthropoda	Arthropoda	Adam	Adam
NODE_14480_length_2463_cov_1081.885253_g8201_i1.p1_Eve;TRINITY_DN564_c0_g1_i18.p1_Ecy;NODE_13313_length_2569_cov_902.774603_g8201_i0.p1_Eve;NODE_33402_length_1429_cov_857.229710_g20456_i0.p1_Ecy;NODE_38635_length_1274_cov_1045.295510_g24113_i0.p1_Ecy;NODE_36040_length_1346_cov_682.260601_g22253_i0.p1_Ecy;NODE_17235_length_2302_cov_357.754549_g11811_i0.p1_Gla;TRINITY_DN6954_c0_g1_i2.p1_Gla	*	PREDICTED: esterase E4-like	PREDICTED: esterase E4-like		PREDICTED: esterase E4-like:6;Carboxylesterase type B:2		Arthropoda	Est-5B	Est-5B
TRINITY_DN12064_c0_g1_i5.p1_Eve;NODE_145_length_10618_cov_180.664680_g92_i0.p1_Ecy;NODE_534_length_7372_cov_59.535709_g350_i0.p1_Gla	*	PREDICTED: uncharacterized protein LOC108666173	PREDICTED: uncharacterized protein LOC108666173		PREDICTED: uncharacterized protein LOC108666173:3		Arthropoda	*	PREDICTED: uncharacterized protein LOC108666173
NODE_145_length_9661_cov_53.938306_g103_i0.p1_Gla	Hml	LOW QUALITY PROTEIN: hemocytin-like	Hml	Hml:1	LOW QUALITY PROTEIN: hemocytin-like:1	Arthropoda	Arthropoda	Hml	Hml
NODE_14533_length_2459_cov_1085.048133_g8986_i0.p1_Eve	Mlc2	EF-hand domain pair	Mlc2	Mlc2:1	EF-hand domain pair:1	Arthropoda	Arthropoda	Mlc2	Mlc2
TRINITY_DN2157_c2_g1_i11.p1_Gla;NODE_1801_length_5345_cov_208.511329_g962_i1.p1_Gla;TRINITY_DN6241_c0_g1_i24.p1_Eve;TRINITY_DN6241_c0_g1_i5.p1_Eve;NODE_1454_length_5671_cov_197.061722_g962_i0.p1_Gla;NODE_6666_length_3566_cov_92.390105_g1501_i3.p1_Eve;NODE_752_length_7552_cov_397.497668_g463_i0.p1_Ecy	bl	PREDICTED: heterogeneous nuclear ribonucleoprotein K-like isoform X2	bl	bl:7	PREDICTED: heterogeneous nuclear ribonucleoprotein K-like isoform X2:3	Arthropoda	Arthropoda	bl	bl
NODE_15628_length_2391_cov_66.073015_g9213_i0.p1_Ecy;NODE_14547_length_2458_cov_43.748028_g8995_i0.p1_Eve;NODE_14096_length_2528_cov_64.189189_g8150_i1.p1_Gla;NODE_19339_length_2180_cov_66.404974_g8150_i2.p1_Gla;TRINITY_DN39389_c0_g1_i1.p1_Gla	shi	PREDICTED: dynamin-like isoform X3	shi	shi:5	PREDICTED: dynamin-like isoform X3:3;PREDICTED: dynamin-like isoform X1:1;PREDICTED: dynamin-like isoform X4:1	Hymenoptera	Arthropoda	shi	shi
TRINITY_DN16112_c0_g1_i1.p1_Ecy;TRINITY_DN16112_c0_g1_i3.p1_Ecy;NODE_14548_length_2492_cov_574.346705_g8585_i0.p1_Ecy;TRINITY_DN14925_c0_g1_i4.p1_Eve;TRINITY_DN14925_c0_g1_i2.p1_Eve;TRINITY_DN426_c0_g1_i31.p1_Gla;NODE_1392_length_5737_cov_277.458685_g924_i0.p1_Gla;NODE_1745_length_5801_cov_329.010083_g1045_i0.p1_Eve	NUCB2	PREDICTED: nucleobindin-2-like, partial	NUCB2	NUCB2:2	PREDICTED: nucleobindin-2-like, partial:8	Hymenoptera	Arthropoda	NUCB2	NUCB2
NODE_14558_length_2491_cov_72.655201_g9887_i0.p1_Gla;TRINITY_DN1189_c0_g1_i15.p1_Gla	PPO1	PREDICTED: LOW QUALITY PROTEIN: phenoloxidase 2-like	PPO1	PPO1:2	PREDICTED: LOW QUALITY PROTEIN: phenoloxidase 2-like:2	Paraneoptera	Arthropoda	PPO1	PPO1
TRINITY_DN5283_c0_g1_i14.p1_Eve;NODE_1456_length_6089_cov_47.048675_g110_i1.p1_Eve;NODE_224_length_9805_cov_68.833128_g16_i4.p1_Ecy;TRINITY_DN18807_c0_g1_i3.p1_Ecy;NODE_41205_length_1452_cov_9.890948_g30137_i0.p1_Gla;NODE_2546_length_5199_cov_50.780000_g110_i6.p1_Eve;NODE_25_length_15869_cov_242.282048_g16_i0.p1_Ecy;NODE_244_length_9601_cov_70.698597_g16_i5.p1_Ecy;TRINITY_DN5283_c0_g1_i17.p1_Eve;TRINITY_DN5283_c0_g1_i15.p1_Eve;NODE_254_length_9514_cov_71.370840_g16_i6.p1_Ecy;NODE_108309_length_717_cov_10.387725_g30137_i1.p1_Gla;TRINITY_DN18807_c0_g1_i2.p1_Ecy;TRINITY_DN59952_c0_g1_i2.p1_Gla;TRINITY_DN59952_c0_g1_i1.p1_Gla	*	putative dystrophin-like isoform X2	putative dystrophin-like isoform X2		putative dystrophin-like isoform X2:10;PREDICTED: dystrophin-like:1		Arthropoda	Dys	Dys
NODE_1457_length_6320_cov_386.725881_g905_i0.p1_Ecy;TRINITY_DN705_c0_g1_i6.p1_Ecy;TRINITY_DN1567_c0_g1_i44.p1_Eve;TRINITY_DN1567_c0_g1_i49.p1_Eve;NODE_2611_length_5274_cov_317.964402_g905_i3.p1_Ecy;TRINITY_DN1567_c0_g1_i53.p1_Eve;NODE_913_length_6447_cov_347.106283_g602_i0.p1_Gla	PURA	Purine-rich element binding protein family	PURA	PURA:1	PREDICTED: transcriptional activator protein Pur-beta-like isoform X2:1;PREDICTED: transcriptional activator protein Pur-beta-like isoform X5:1;PREDICTED: transcriptional activator protein Pur-beta-like isoform X3:1;PREDICTED: transcriptional activator protein Pur-beta-B-like isoform X4:1;Purine-rich element binding protein family:2;PREDICTED: transcriptional activator protein Pur-beta-like isoform X1:1	Insecta	Arthropoda	PURA	PURA
NODE_14635_length_2450_cov_151.413994_g9050_i0.p1_Eve;NODE_14451_length_2501_cov_162.498369_g8530_i0.p1_Ecy;TRINITY_DN6418_c0_g1_i7.p1_Ecy;TRINITY_DN3896_c0_g1_i13.p1_Gla;NODE_9194_length_3035_cov_183.980576_g6125_i0.p1_Gla;TRINITY_DN14333_c2_g1_i2.p1_Eve;TRINITY_DN94725_c0_g2_i1.p1_Gla;NODE_36095_length_1568_cov_19.726136_g26095_i0.p1_Gla;TRINITY_DN94725_c0_g2_i2.p1_Gla;NODE_21729_length_1952_cov_80.763006_g12974_i0.p1_Ecy	*	PREDICTED: endoglucanase E-4-like	PREDICTED: endoglucanase E-4-like		PREDICTED: endoglucanase E-4-like:10		Arthropoda	celD	celD
TRINITY_DN23586_c0_g1_i2.p1_Gla;NODE_1465_length_6309_cov_107.149681_g909_i0.p1_Ecy;NODE_1577_length_5546_cov_43.842641_g1045_i0.p1_Gla;TRINITY_DN16024_c1_g1_i1.p1_Ecy;NODE_1887_length_5671_cov_94.284063_g1138_i0.p1_Eve	HUWE1	PREDICTED: E3 ubiquitin-protein ligase HUWE1-like	HUWE1	HUWE1:1	PREDICTED: E3 ubiquitin-protein ligase HUWE1-like:5	Arthropoda	Arthropoda	HUWE1	HUWE1
NODE_62701_length_999_cov_5034.521053_g9068_i2.p2_Eve;NODE_14662_length_2448_cov_1501.341809_g9068_i0.p2_Eve;NODE_4673_length_4286_cov_1723.214539_g2744_i0.p2_Ecy;NODE_29987_length_1552_cov_5566.758483_g2744_i2.p2_Ecy;NODE_6091_length_3857_cov_1914.355830_g2744_i1.p1_Ecy;TRINITY_DN5781_c0_g1_i29.p1_Gla	*	PREDICTED: glycine-rich cell wall structural protein-like	PREDICTED: glycine-rich cell wall structural protein-like		PREDICTED: glycine-rich cell wall structural protein-like:5;WAP-type 'four-disulfide core' domain:1		Arthropoda	*	PREDICTED: glycine-rich cell wall structural protein-like
NODE_14684_length_2446_cov_699.481018_g9084_i0.p1_Eve	*	PREDICTED: glutathione S-transferase Mu 2-like isoform X1	PREDICTED: glutathione S-transferase Mu 2-like isoform X1		PREDICTED: glutathione S-transferase Mu 2-like isoform X1:1		Arthropoda	Gstm2	Gstm2
NODE_449_length_7744_cov_85.788564_g247_i1.p1_Gla;TRINITY_DN3361_c1_g1_i9.p1_Eve;NODE_147_length_10612_cov_115.253526_g93_i0.p1_Ecy;TRINITY_DN3361_c1_g1_i1.p1_Eve;NODE_64_length_11286_cov_97.566877_g44_i0.p1_Eve;TRINITY_DN1267_c0_g1_i1.p2_Ecy;NODE_368_length_8094_cov_76.519702_g247_i0.p1_Gla;NODE_15375_length_2412_cov_132.494710_g93_i3.p1_Ecy;NODE_368_length_8353_cov_114.667389_g44_i1.p1_Eve;TRINITY_DN30576_c0_g1_i2.p1_Gla;TRINITY_DN30576_c0_g1_i13.p1_Gla	SRPK2	PREDICTED: SRSF protein kinase 3-like isoform X4	SRPK2	SRPK2:1	PREDICTED: SRSF protein kinase 3-like isoform X5:1;PREDICTED: SRSF protein kinase 3-like isoform X4:5;Protein kinase domain:2;PREDICTED: SRSF protein kinase 3-like isoform X6:1	Arthropoda	Arthropoda	SRPK2	SRPK2
TRINITY_DN6363_c0_g1_i1.p1_Eve;TRINITY_DN16383_c0_g1_i10.p1_Ecy;NODE_14724_length_2443_cov_55.048037_g9111_i0.p1_Eve;TRINITY_DN16383_c0_g1_i9.p1_Ecy;TRINITY_DN6363_c0_g1_i2.p1_Eve;TRINITY_DN32218_c0_g1_i1.p1_Gla;NODE_4274_length_4073_cov_773.832008_g2777_i0.p1_Gla	HARS	PREDICTED: histidine--tRNA ligase, cytoplasmic-like isoform X2	HARS	HARS:5	PREDICTED: histidine--tRNA ligase, cytoplasmic-like isoform X3:1;PREDICTED: histidine--tRNA ligase, cytoplasmic-like isoform X2:2;Histidine-tRNA ligase:2;PREDICTED: histidine--tRNA ligase, cytoplasmic-like isoform X1:2	Actinopterygii;Metazoa;Insecta	Arthropoda	HARS	HARS
TRINITY_DN15775_c0_g1_i17.p1_Eve;NODE_14788_length_2438_cov_275.795730_g9148_i0.p1_Eve;TRINITY_DN3014_c0_g1_i3.p1_Ecy;NODE_39529_length_1376_cov_364.003014_g9148_i2.p1_Eve	AHSA1	PREDICTED: activator of 90 kDa heat shock protein ATPase homolog 1-like	AHSA1	AHSA1:1	PREDICTED: activator of 90 kDa heat shock protein ATPase homolog 1-like:4	Arthropoda	Arthropoda	AHSA1	AHSA1
TRINITY_DN2863_c0_g1_i13.p1_Ecy;NODE_14788_length_2467_cov_1691.584367_g4290_i2.p1_Ecy;NODE_7333_length_3536_cov_1074.745340_g4290_i0.p1_Ecy;TRINITY_DN2863_c0_g1_i14.p1_Ecy;NODE_13575_length_2587_cov_1608.323089_g4290_i1.p1_Ecy;NODE_13575_length_2587_cov_1608.323089_g4290_i1.p2_Ecy	Amyrel	PREDICTED: alpha-amylase-like	Amyrel	AMY2A:2;Amyrel:4	PREDICTED: alpha-amylase-like:3;putative alpha-amylase:2;Glycosyl hydrolase family 13 catalytic domain, partial:1	Arthropoda	Arthropoda	Amyrel	Amyrel
NODE_1479_length_5649_cov_216.600714_g26_i6.p1_Gla	*	Immunoglobulin I-set	Immunoglobulin I-set		Immunoglobulin I-set:1		Arthropoda	*	Immunoglobulin I-set
NODE_148_length_9971_cov_1664.884298_g101_i0.p1_Eve;TRINITY_DN598_c0_g1_i3.p1_Gla;NODE_3745_length_4509_cov_3014.689686_g101_i2.p1_Eve;NODE_7496_length_3306_cov_88.190973_g4957_i0.p1_Gla;NODE_22657_length_1897_cov_1736.286255_g477_i10.p1_Ecy;NODE_18717_length_2149_cov_1534.405714_g477_i9.p1_Ecy;NODE_32708_length_1658_cov_43.784960_g23460_i0.p1_Gla;TRINITY_DN27914_c0_g1_i1.p1_Gla;TRINITY_DN85618_c0_g1_i1.p1_Gla;TRINITY_DN148842_c0_g1_i1.p1_Eve	FLNB	LOW QUALITY PROTEIN: filamin-A-like	FLNB	FLNB:1	filamin-A isoform X4:2;LOW QUALITY PROTEIN: filamin-A-like:3;filamin-A-like:1;filamin-A isoform X5, partial:1;filamin-A isoform X6, partial:2	Bilateria	Rotifera;Arthropoda	FLNB	FLNB
NODE_1480_length_6285_cov_95.966485_g917_i0.p1_Ecy;TRINITY_DN6871_c1_g1_i12.p1_Ecy;TRINITY_DN6871_c1_g1_i7.p1_Ecy;NODE_3172_length_4947_cov_87.862189_g917_i1.p1_Ecy;TRINITY_DN6871_c1_g1_i1.p1_Ecy	*	PREDICTED: aminopeptidase N-like	PREDICTED: aminopeptidase N-like		PREDICTED: aminopeptidase N-like:4;Peptidase M1 membrane alanine aminopeptidase N-terminal:1		Arthropoda	Anpep	Anpep
TRINITY_DN7438_c1_g1_i1.p1_Eve;NODE_14860_length_2461_cov_117.919983_g8767_i0.p1_Ecy;NODE_28198_length_1798_cov_27.227559_g20032_i0.p1_Gla;TRINITY_DN36257_c1_g1_i2.p1_Gla;TRINITY_DN36257_c1_g1_i3.p1_Gla	Sirt2	PREDICTED: NAD-dependent protein deacetylase Sirt2-like isoform X1	Sirt2	Sirt2:5	PREDICTED: NAD-dependent protein deacetylase Sirt2-like isoform X1:5	Insecta	Arthropoda	Sirt2	Sirt2
NODE_35429_length_1475_cov_54.382188_g23547_i0.p1_Eve;NODE_1488_length_6278_cov_25.794349_g924_i0.p1_Ecy;NODE_92936_length_816_cov_27.260756_g39330_i1.p1_Gla;TRINITY_DN35988_c0_g1_i1.p1_Gla;NODE_52558_length_1247_cov_35.875626_g39330_i0.p1_Gla	TATDN1	PREDICTED: putative deoxyribonuclease TATDN1	TATDN1	TATDN1:3	PREDICTED: putative deoxyribonuclease TATDN1:4;TatD family:1	Bilateria	Arthropoda	TATDN1	TATDN1
NODE_14886_length_2430_cov_510.154977_g9216_i0.p1_Eve;TRINITY_DN25239_c0_g1_i2.p1_Eve;TRINITY_DN144_c22_g1_i2.p1_Ecy;NODE_29680_length_1748_cov_470.208358_g21165_i0.p1_Gla	Ndufa10	Deoxynucleoside kinase domain	Ndufa10	Ndufa10:3;NDUFA10:1	Deoxynucleoside kinase domain:2;PREDICTED: NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial-like:2	Insecta	Arthropoda	Ndufa10	Ndufa10
NODE_14902_length_2457_cov_1606.487957_g8794_i0.p1_Ecy	*	PREDICTED: chromosome partition protein Smc-like isoform X1	PREDICTED: chromosome partition protein Smc-like isoform X1		PREDICTED: chromosome partition protein Smc-like isoform X1:1		Arthropoda	smc	smc
TRINITY_DN5766_c0_g1_i2.p1_Ecy;NODE_153_length_10558_cov_39.438767_g99_i0.p1_Ecy;NODE_1496_length_6038_cov_21.569043_g892_i0.p1_Eve;NODE_27475_length_1825_cov_4.725788_g19469_i0.p1_Gla	Ranbp11	PREDICTED: importin-11-like	Ranbp11	IPO11:1;Ranbp11:3	PREDICTED: importin-11-like:4	Insecta	Arthropoda	Ranbp11	Ranbp11
TRINITY_DN169_c0_g1_i13.p1_Eve;NODE_1496_length_6267_cov_97.460598_g929_i0.p1_Ecy;TRINITY_DN61355_c0_g1_i6.p1_Gla;TRINITY_DN61355_c0_g1_i10.p1_Gla	*	PREDICTED: beta-parvin-like	PREDICTED: beta-parvin-like		PREDICTED: beta-parvin-like:3;Calponin domain:1		Arthropoda	PARVB	PARVB
NODE_14981_length_2451_cov_22.583264_g6350_i1.p1_Ecy;TRINITY_DN9153_c0_g1_i15.p1_Ecy;NODE_10813_length_2930_cov_18.023603_g6350_i0.p3_Ecy;TRINITY_DN9153_c0_g1_i2.p1_Ecy;TRINITY_DN936_c0_g1_i12.p1_Gla;NODE_15895_length_2394_cov_68.800853_g6566_i2.p1_Gla	FAAH	Amidase signature domain	FAAH	FAAH:2	Amidase signature domain:3;PREDICTED: vitamin D3 hydroxylase-associated protein-like:3	Arthropoda;Chordata	Arthropoda	FAAH	FAAH
NODE_15_length_15230_cov_130.366379_g10_i0.p1_Eve;TRINITY_DN10304_c0_g1_i15.p1_Eve;TRINITY_DN10304_c0_g1_i7.p1_Eve;NODE_24_length_15916_cov_166.249701_g15_i0.p1_Ecy;NODE_122_length_9989_cov_38.790644_g89_i0.p1_Gla;TRINITY_DN216808_c0_g1_i5.p1_Ecy;NODE_38085_length_1520_cov_159.770224_g89_i1.p1_Gla	clec-78	Low-density lipoprotein (LDL) receptor class A repeat	clec-78	clec-78:1	Low-density lipoprotein (LDL) receptor class A repeat:4;PREDICTED: sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like, partial:3	Hymenoptera	Arthropoda	clec-78	clec-78
NODE_15_length_17556_cov_445.032330_g9_i0.p1_Ecy	*	hypothetical protein FHG87_005635	hypothetical protein FHG87_005635		hypothetical protein FHG87_005635:1		Arthropoda	*	hypothetical protein FHG87_005635
NODE_15_length_17556_cov_445.032330_g9_i0.p2_Ecy	*	hypothetical protein FHG87_005635	hypothetical protein FHG87_005635		hypothetical protein FHG87_005635:1		Arthropoda	*	hypothetical protein FHG87_005635
NODE_15035_length_2415_cov_405.925613_g6169_i2.p1_Eve;TRINITY_DN53852_c0_g1_i11.p1_Eve;TRINITY_DN12320_c0_g1_i5.p1_Ecy;TRINITY_DN919_c1_g1_i3.p1_Ecy;NODE_32136_length_1473_cov_41.515449_g19574_i0.p1_Ecy	TMPRSS12	Serine proteases trypsin domain	TMPRSS12	TMPRSS12:1	Serine proteases trypsin domain:2;PREDICTED: chymotrypsin A-like, partial:1;PREDICTED: chymotrypsin-like protease CTRL-1:2	Diptera	Arthropoda	TMPRSS12	TMPRSS12
NODE_15160_length_2433_cov_121.523070_g575_i5.p1_Ecy;NODE_5650_length_3835_cov_72.111463_g2611_i1.p1_Eve;NODE_16175_length_2343_cov_113.799041_g575_i7.p1_Ecy;NODE_15474_length_2403_cov_113.847069_g575_i6.p1_Ecy;NODE_4370_length_4252_cov_49.387342_g2611_i0.p1_Eve;NODE_927_length_7146_cov_137.131746_g575_i0.p1_Ecy;NODE_8440_length_3313_cov_90.678309_g575_i3.p1_Ecy;TRINITY_DN21746_c0_g1_i5.p1_Eve;NODE_9448_length_3144_cov_106.182229_g575_i4.p1_Ecy;NODE_43615_length_1404_cov_71.646494_g20098_i1.p1_Gla;NODE_28286_length_1795_cov_58.001145_g20098_i0.p1_Gla;TRINITY_DN14228_c2_g1_i1.p1_Gla;TRINITY_DN14228_c2_g1_i9.p1_Gla	*	PREDICTED: serine/threonine-protein kinase MARK2-like isoform X3	PREDICTED: serine/threonine-protein kinase MARK2-like isoform X3		PREDICTED: serine/threonine-protein kinase MARK2-like isoform X4:2;PREDICTED: serine/threonine-protein kinase MARK2-like isoform X3:7;MAP/microtubule affinity-regulating kinase 3-like isoform X6:2;Protein kinase domain:1;PREDICTED: serine/threonine-protein kinase MARK2-like isoform X2:1		Arthropoda	MARK2	MARK2
TRINITY_DN76128_c0_g1_i5.p1_Eve;TRINITY_DN76128_c0_g1_i23.p1_Eve;NODE_15161_length_2406_cov_48.683072_g9396_i0.p1_Eve;NODE_14184_length_2526_cov_51.018975_g8359_i0.p1_Ecy;TRINITY_DN8768_c0_g1_i9.p1_Ecy	*	PREDICTED: low-density lipoprotein receptor-related protein 1B-like	PREDICTED: low-density lipoprotein receptor-related protein 1B-like		PREDICTED: low-density lipoprotein receptor-related protein 1B-like:4;PREDICTED: CD320 antigen-like isoform X2:1		Arthropoda	LRP1B	LRP1B
TRINITY_DN1459_c2_g1_i14.p1_Eve;NODE_1529_length_6005_cov_107.897918_g913_i0.p1_Eve;NODE_16061_length_2381_cov_43.940395_g10962_i0.p1_Gla;TRINITY_DN1292_c0_g1_i5.p1_Ecy;NODE_1866_length_5885_cov_141.071796_g1151_i0.p1_Ecy;NODE_25997_length_1723_cov_32.344683_g1151_i2.p1_Ecy;NODE_34413_length_1503_cov_45.944979_g913_i2.p1_Eve;NODE_28870_length_1598_cov_32.890252_g1151_i3.p1_Ecy;NODE_76934_length_950_cov_179.477248_g30608_i1.p1_Gla	*	Glycoside hydrolase family 27	Glycoside hydrolase family 27		PREDICTED: alpha-N-acetylgalactosaminidase-like:3;Glycoside hydrolase family 27:6		Arthropoda	NAGA	NAGA
TRINITY_DN151_c0_g1_i19.p1_Eve;NODE_15294_length_2394_cov_555.870362_g9494_i0.p1_Eve;NODE_11705_length_2806_cov_465.108089_g2065_i1.p1_Ecy;NODE_12776_length_2641_cov_279.375386_g8613_i0.p1_Gla;NODE_3431_length_4812_cov_259.265589_g2065_i0.p1_Ecy	*	PREDICTED: tubulin alpha-3 chain-like	PREDICTED: tubulin alpha-3 chain-like		PREDICTED: tubulin alpha-3 chain-like:5		Arthropoda	Tuba3a	Tuba3a
TRINITY_DN289224_c0_g1_i3.p1_Eve;TRINITY_DN17920_c0_g1_i7.p1_Ecy;NODE_15334_length_2432_cov_36.284096_g10454_i0.p1_Gla	LCMT1	PREDICTED: leucine carboxyl methyltransferase 1-like	LCMT1	LCMT1:1	PREDICTED: leucine carboxyl methyltransferase 1-like:2;Methyltransferase Ppm1/Ppm2/Tcmp:1	Arthropoda	Arthropoda	LCMT1	LCMT1
NODE_15348_length_2390_cov_60.395985_g9533_i0.p1_Eve;NODE_14079_length_2536_cov_275.928428_g7962_i1.p1_Ecy;TRINITY_DN292_c0_g1_i1.p1_Ecy;NODE_13549_length_2590_cov_224.304604_g7962_i0.p1_Ecy;TRINITY_DN1849_c0_g1_i3.p1_Eve;TRINITY_DN292_c0_g1_i10.p1_Ecy;TRINITY_DN20899_c0_g1_i11.p1_Ecy;TRINITY_DN20899_c0_g1_i2.p1_Ecy;NODE_19759_length_2078_cov_13.308526_g11736_i0.p1_Ecy	sul-3	Sulfatase N-terminal	sul-3	sul-3:2	Sulfatase N-terminal:3;Arylsulfatase B:2;PREDICTED: arylsulfatase I-like:1;PREDICTED: arylsulfatase B-like:3	Arthropoda	Arthropoda	sul-3	sul-3
NODE_15354_length_2430_cov_147.120538_g4193_i6.p1_Gla	*	Hypothetical predicted protein	Hypothetical predicted protein		Hypothetical predicted protein:1		Arthropoda	*	Hypothetical predicted protein
